"Step","stage_b - stage_b/parent_train_stitch_loss","stage_b - stage_b/parent_train_stitch_loss__MIN","stage_b - stage_b/parent_train_stitch_loss__MAX"
"0","2.492546321451664","2.492546321451664","2.492546321451664"
"1","2.4938652037978173","2.4938652037978173","2.4938652037978173"
"2","2.4091243988275526","2.4091243988275526","2.4091243988275526"
"3","2.3656247426271437","2.3656247426271437","2.3656247426271437"
"4","2.363759973168373","2.363759973168373","2.363759973168373"
"5","2.4036103427410125","2.4036103427410125","2.4036103427410125"
"6","2.306293030679226","2.306293030679226","2.306293030679226"
"7","2.414936900854111","2.414936900854111","2.414936900854111"
"8","2.3691823579669","2.3691823579669","2.3691823579669"
"9","2.3013900274336336","2.3013900274336336","2.3013900274336336"
"10","2.330138595163822","2.330138595163822","2.330138595163822"
"11","2.307860174357891","2.307860174357891","2.307860174357891"
"12","2.3201634231209756","2.3201634231209756","2.3201634231209756"
"13","2.295721585154533","2.295721585154533","2.295721585154533"
"14","2.2758513809144496","2.2758513809144496","2.2758513809144496"
"15","2.296558194577694","2.296558194577694","2.296558194577694"
"16","2.318280926167965","2.318280926167965","2.318280926167965"
"17","2.2858756347894666","2.2858756347894666","2.2858756347894666"
"18","2.2610316593647","2.2610316593647","2.2610316593647"
"19","2.2444519282877446","2.2444519282877446","2.2444519282877446"
"20","2.2767678950726986","2.2767678950726986","2.2767678950726986"
"21","2.242015913248062","2.242015913248062","2.242015913248062"
"22","2.255866826683283","2.255866826683283","2.255866826683283"
"23","2.244176197260618","2.244176197260618","2.244176197260618"
"24","2.187534745872021","2.187534745872021","2.187534745872021"
"25","2.212990261375904","2.212990261375904","2.212990261375904"
"26","2.243053705394268","2.243053705394268","2.243053705394268"
"27","2.2219961204230785","2.2219961204230785","2.2219961204230785"
"28","2.1805099882483483","2.1805099882483483","2.1805099882483483"
"29","2.1724707502126694","2.1724707502126694","2.1724707502126694"
"30","2.2031847847402095","2.2031847847402095","2.2031847847402095"
"31","2.185613827139139","2.185613827139139","2.185613827139139"
"32","2.1574552196860313","2.1574552196860313","2.1574552196860313"
"33","2.1542505888044836","2.1542505888044836","2.1542505888044836"
"34","2.126380502551794","2.126380502551794","2.126380502551794"
"35","2.147962772548199","2.147962772548199","2.147962772548199"
"36","2.1561246083378793","2.1561246083378793","2.1561246083378793"
"37","2.1279276792705057","2.1279276792705057","2.1279276792705057"
"38","2.1472887679338455","2.1472887679338455","2.1472887679338455"
"39","2.1318205690681933","2.1318205690681933","2.1318205690681933"
"40","2.1528175686597826","2.1528175686597826","2.1528175686597826"
"41","2.1345650817453863","2.1345650817453863","2.1345650817453863"
"42","2.1304483631253244","2.1304483631253244","2.1304483631253244"
