epoch,train_loss,val_stitch_loss,val_f1,val_count_mae,val_map50,best_val_f1,lr,encoder_unfrozen,patience_counter
1,1.598504,1.58659,0.007782,54.8889,0.032595,0.007782,0.0001,0,0
2,1.379437,1.52425,0.030937,53.2778,0.04505,0.030937,0.0002,0,0
3,1.336032,1.528601,0.020465,53.1667,0.03852,0.030937,0.0003,0,1
4,1.315909,1.565811,0.029602,52.9444,0.040091,0.030937,0.0004,0,2
5,1.309876,1.538749,0.067379,49.2778,0.052471,0.067379,0.0005,0,0
6,1.307065,1.555872,0.059072,48.9444,0.048487,0.067379,0.0005,0,1
7,1.333327,1.585728,0.020128,54.2778,0.034711,0.067379,0.0004522542485937369,0,2
8,1.306566,1.534871,0.013146,53.9444,0.037575,0.067379,0.00032725424859373687,0,3
9,1.283641,1.504619,0.047986,51.9444,0.050116,0.067379,0.00017274575140626317,0,4
10,1.261327,1.524494,0.025902,53.6111,0.050144,0.067379,4.7745751406263163e-05,0,5
11,1.266489,1.493743,0.014898,53.8889,0.049423,0.067379,0.0001,1,6
12,1.276261,1.522512,0.032287,52.8333,0.053626,0.067379,0.0002,1,7
13,1.27228,1.525756,0.020446,54.4444,0.039599,0.067379,0.0003,1,8
14,1.281197,1.471833,0.011583,54.4444,0.038556,0.067379,0.0004,1,9
15,1.292642,1.565267,0.015209,54.6667,0.041193,0.067379,0.0005,1,10
16,1.302233,1.520453,0.021858,53.3333,0.045257,0.067379,0.0005,1,11
17,1.310749,1.448054,0.011617,54.6111,0.045669,0.067379,0.0004997080567080817,1,12
18,1.283885,1.540018,0.025902,54.2778,0.037721,0.067379,0.0004988329086794121,1,13
19,1.30533,1.513029,0.014939,55.1667,0.04243,0.067379,0.0004973765998627628,1,14
20,1.31159,1.519921,0.024933,54.2778,0.049086,0.067379,0.0004953425315348534,1,15
