site,imgname,xmin,ymin,xmax,ymax,score,ndvi,lat,lon,acquisition_yyyymm,patch_left_utm,patch_top_utm,source_geo_index
CZU_AUG_LIGHTNING,17_20998_50948,167.88,168.55,190.69,191.46,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,16.49,221.62,26.99,232.61,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,8.06,232.7,14.91,240.03,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,14.14,236.84,25.98,245.57,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,15.68,246.18,20.25,251.21,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,10.01,246.59,16.39,253.01,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,0.53,237.88,6.94,247.48,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,113.73,23.48,122.85,31.73,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,124.89,19.01,131.72,23.15,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,10.33,7.5,19.89,15.3,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,21.62,12.13,28.47,19.46,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_20998_50948,7.23,30.0,15.43,36.88,1.0,,37.150466,-122.325897,2022,559738.2,4111897.5,20998_50948
CZU_AUG_LIGHTNING,17_21008_50917,101.94,16.98,128.37,36.29,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,125.9,24.44,146.89,44.62,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,147.74,17.32,164.17,32.01,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,152.16,33.74,167.67,47.51,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,84.45,0.47,99.94,11.51,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,177.22,18.0,193.62,29.04,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,183.22,1.2,205.07,15.02,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,133.39,51.35,159.84,73.39,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,153.25,66.97,166.07,84.36,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,105.35,54.33,121.75,66.28,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,86.41,44.18,107.32,53.43,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,91.0,28.28,108.34,44.79,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,131.54,2.64,150.68,17.34,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,106.74,40.23,125.02,61.3,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,135.14,74.58,146.07,81.94,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,126.08,67.23,140.69,80.99,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,140.95,80.99,159.16,92.96,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,94.78,74.73,112.99,84.88,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,91.23,65.6,103.99,74.8,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,97.63,53.82,107.7,67.54,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,88.81,81.97,100.7,95.71,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,94.22,86.11,114.26,99.91,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,98.2,94.78,115.56,113.11,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,84.61,96.96,99.23,112.54,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,91.78,111.57,102.74,123.49,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,102.65,115.75,112.68,124.93,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,119.95,103.14,135.44,114.17,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,77.13,75.51,86.24,81.95,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,78.82,87.36,86.15,98.33,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,119.15,86.29,139.18,99.18,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,107.89,67.55,122.56,89.5,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,111.13,8.86,122.08,18.95,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,135.4,95.97,149.08,107.9,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,151.75,92.9,157.26,102.96,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,149.37,108.36,162.14,118.47,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,161.22,99.35,174.89,110.37,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,175.25,100.36,196.18,112.35,1.0,,37.2183,-122.298431,2022,562121.6,4119440.4,21008_50917
