site,imgname,xmin,ymin,xmax,ymax,score,ndvi,lat,lon,acquisition_yyyymm,patch_left_utm,patch_top_utm,source_geo_index
CZU_AUG_LIGHTNING,17_20996_50952,179.0,216.28,189.76,225.31,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,125.16,203.82,135.93,215.53,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,124.14,156.83,136.71,170.34,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,164.91,252.84,173.21,256.0,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,83.41,144.91,97.81,164.7,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,84.02,191.0,98.38,205.42,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,46.12,194.76,61.37,209.19,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,55.3,216.3,69.69,234.3,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,68.6,235.64,75.79,244.64,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,114.6,209.12,128.1,228.9,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,97.57,229.13,111.92,242.65,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,105.5,242.61,114.5,255.2,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,121.53,247.64,134.96,256.0,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_20996_50952,178.68,226.57,190.35,239.18,1.0,,37.141709,-122.33139,2020,559257.2,4110922.6,20996_50952
CZU_AUG_LIGHTNING,17_21008_50917,34.57,9.31,41.86,14.83,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,56.99,2.65,70.69,17.32,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,44.0,20.31,52.66,26.74,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,47.82,26.93,54.2,31.99,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,56.21,19.94,67.16,30.04,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,72.46,0.72,80.22,8.06,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,24.01,56.11,34.04,63.92,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,5.64,50.29,21.62,66.79,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,34.78,40.72,42.54,48.51,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,26.23,31.78,33.09,40.02,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,47.14,51.96,55.37,62.49,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,58.26,48.63,68.77,60.09,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,66.57,28.44,79.79,39.0,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,62.47,34.1,70.23,41.89,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,54.76,37.45,59.78,42.5,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,57.52,30.65,63.46,37.06,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,59.74,39.08,63.85,44.12,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,26.88,67.74,34.64,74.62,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,17.31,75.41,28.69,82.32,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,12.13,69.22,21.71,77.03,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,8.66,78.76,19.15,87.48,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,57.46,62.05,68.44,75.79,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,66.99,63.94,75.68,74.02,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,74.54,55.81,84.12,64.52,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,84.52,53.15,95.47,63.24,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,83.11,60.65,92.7,69.82,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,70.77,40.99,83.1,52.91,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,87.39,27.68,107.44,42.85,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,76.61,15.32,90.76,29.98,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,90.45,18.38,97.31,27.53,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,94.76,18.41,107.51,27.15,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,98.45,2.05,113.07,17.63,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,110.69,9.42,118.0,16.76,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,111.65,1.47,118.96,10.17,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,87.02,80.48,102.07,93.33,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,77.11,70.16,87.64,84.35,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,105.17,78.79,117.03,89.35,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,104.44,51.71,122.67,65.95,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,90.47,42.5,105.52,54.9,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,184.69,47.98,200.65,61.29,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,192.36,80.58,211.06,97.1,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,151.71,33.4,170.39,47.64,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,178.79,19.26,194.74,31.67,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,188.16,7.5,202.31,20.35,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,163.57,24.61,177.71,36.55,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,148.65,18.58,165.97,31.91,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,169.59,1.44,187.4,19.32,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,140.05,77.91,158.28,92.61,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
CZU_AUG_LIGHTNING,17_21008_50917,135.92,52.39,158.7,68.49,1.0,,37.2183,-122.298431,2020,562121.6,4119440.4,21008_50917
